,I,P,S,B,K,A
0,-2.0,0.4720598019605494,-0.10257310448453323,3.0,0.43639976576334083,2.22146516189798
1,-2.0,-1.9148380741088729,0.8722172787920033,2.0,0.4263478712830677,1.0871440613992327
2,-2.0,0.457996057313507,1.0667675315647753,3.0,0.6678979005448442,0.6724229041003925
3,-2.0,-1.7404101922823052,0.10879005984456208,2.0,0.41477932852235,-0.09859380534904827
4,-2.0,2.1813272869471523,0.9313712434965583,3.0,0.7268568345784587,1.692523383239808
5,-2.0,0.5361390189482801,0.9079887526713779,2.0,0.5455682367606589,0.6577782828977605
6,-2.0,1.2012229222797608,1.1497421966947425,3.0,0.5350882189589539,0.28092195102048345
7,-2.0,3.7394218926933513,0.021007877083777684,3.0,0.9729282289319892,0.5895429565647405
8,-2.0,2.874087735025593,0.9847940415621407,3.0,0.7120217588544357,0.1930693169544635
9,-2.0,1.3505677097439375,0.16349991273293923,3.0,0.3405076613462438,4.800680817415579
10,-2.0,2.0171055079245743,1.044691740265833,3.0,0.4698839070872826,3.8546535696343804
11,-2.0,1.4985052340572502,1.04279065014849,4.0,0.6957569457421157,6.193858810161035
12,-2.0,-0.4615775900543473,0.8996850076064686,4.0,0.4588296804920812,0.8825709398432998
13,-2.0,0.51643625755044,-0.12113099060064307,3.0,0.9496046035977634,2.1156595496524497
14,-2.0,0.8529736210314539,0.9513806299038984,3.0,0.8526358184104352,0.5356446426231797
15,-2.0,1.5621073395578113,0.9616397366737418,2.0,0.62790618491433,3.3309416969432397
16,-2.0,-2.271277515028059,-0.08992245521829839,2.0,0.5578608957562053,-1.0866682070235387
17,-2.0,-0.9706653958258735,0.7438711191623577,2.0,0.4424054617565396,-3.4985485780637786
18,-2.0,0.9633079640812104,0.9825840125620168,4.0,0.7220212271008886,-0.0068974723093097046
19,-2.0,-2.7413711721026566,0.9894151204782106,3.0,0.9325424718096655,2.608742738476111
20,-2.0,0.44945624694043335,0.9945733446222957,2.0,0.7205055897833282,-5.162884877130682
21,-2.0,0.27972071713173907,0.09688731867692378,2.0,0.9011133685839839,-1.4300270444915113
22,-2.0,-1.0085111713871082,1.0263929789645911,2.0,0.641461397937206,-0.7443035835635085
23,-2.0,0.3703670881222411,0.0023172178838001423,4.0,0.2598320776406037,-0.6976677339127334
24,-2.0,1.9332531731446227,-0.003210548672333441,2.0,0.6375142168794316,2.580488793582415
25,-2.0,-1.5070794602302848,1.048307698144105,2.0,0.6003088636238912,-0.6955283001371835
26,-2.0,-0.3614847010509526,0.8254408470491299,3.0,0.3035877168986361,1.8946399113007932
27,-2.0,-0.6509001286798763,-0.0034068046227831842,2.0,0.9632810787728612,-1.9912890381448833
28,-2.0,3.154643383317848,0.03426544924960429,3.0,0.8322376211093805,-1.403993602104869
29,-2.0,-1.5550912513180504,-0.03237126520264326,4.0,0.8617951739936421,-1.8565502492548946
30,-2.0,1.0656726993140164,-0.18191274562919546,2.0,0.5006628088136492,0.6397867660089062
31,-2.0,2.4244624464035995,1.0483125898421617,2.0,0.47876439523566583,-1.095530071095946
32,-2.0,1.9975120557476056,0.8825123744441081,3.0,0.940013470882765,2.105235443802603
33,-2.0,1.834679000595222,0.9770415623717307,2.0,0.39181552731257113,-1.6815774787244377
34,-2.0,0.7556778333539655,1.11220049097598,2.0,0.26004830464157386,-0.8168687227701257
35,-2.0,0.26453152059894197,0.8801184942866636,3.0,0.7887475422469805,-4.969671085824566
36,-2.0,2.2309876095043477,1.0541443921702687,3.0,0.7615405762943988,1.0843584854721955
37,-2.0,1.1479184982930897,-0.13369800831727488,2.0,0.44464496902449946,2.489797500258522
38,-2.0,1.280455925127852,0.8681980814131287,2.0,0.6491757893749575,0.8160030713450782
39,-2.0,-2.1185237896577322,0.8665832438521202,3.0,0.4394213735789453,2.605434116834978
40,-2.0,2.5169094751133985,-0.006523783050737674,2.0,0.5448334413126096,3.8898684652832713
41,-2.0,-0.7343783431344109,0.9439388506752323,2.0,0.9087664367656886,-3.840841907917737
42,-2.0,-0.1274722389632413,0.8613528256081668,3.0,0.23348110436260286,0.12589765121425534
43,-2.0,-0.15519858394646396,-0.12526666670087566,2.0,0.6082141252695015,-0.4142151155912679
44,-2.0,-0.19724788389528713,0.9049497780878066,4.0,0.7944845051441137,2.1186016070747766
45,-2.0,-0.4413806623195131,1.0591503232282358,2.0,0.6527049987204105,-1.033699032289297
46,-2.0,-0.24759390395833147,1.0096968691018262,3.0,0.8630405922905736,1.3814311164685749
47,-2.0,0.868374841437569,0.12265901079339041,4.0,0.8265046900755624,-0.0822693609684646
48,-2.0,1.8268915930843614,1.1822878434492972,3.0,0.21412023413963632,5.613254422832583
49,-2.0,3.033199533602145,1.1802675961940277,3.0,0.4724865829950269,0.9625014391515974
